match_id,season_id,league_id,matchday,home_team_id,away_team_id,winner,utc_date
436249,1,1,31,3,8,HOME_TEAM,2024-04-04
436255,1,1,32,14,7,AWAY_TEAM,2024-04-06
436253,1,1,32,2,18,DRAW,2024-04-06
436256,1,1,32,4,12,HOME_TEAM,2024-04-06
436257,1,1,32,5,9,AWAY_TEAM,2024-04-06
436258,1,1,32,16,20,HOME_TEAM,2024-04-06
436262,1,1,32,11,19,AWAY_TEAM,2024-04-06
436254,1,1,32,17,1,AWAY_TEAM,2024-04-06
436259,1,1,32,8,6,DRAW,2024-04-07
436260,1,1,32,15,3,DRAW,2024-04-07
436261,1,1,32,10,13,HOME_TEAM,2024-04-07
436270,1,1,33,9,10,HOME_TEAM,2024-04-13
436265,1,1,33,18,15,HOME_TEAM,2024-04-13
436266,1,1,33,12,17,DRAW,2024-04-13
436269,1,1,33,7,16,HOME_TEAM,2024-04-13
436271,1,1,33,13,11,DRAW,2024-04-13
436263,1,1,33,20,8,DRAW,2024-04-13
436268,1,1,33,6,14,AWAY_TEAM,2024-04-14
436272,1,1,33,19,5,AWAY_TEAM,2024-04-14
436264,1,1,33,1,2,AWAY_TEAM,2024-04-14
436267,1,1,33,3,4,HOME_TEAM,2024-04-15
436278,1,1,34,16,18,AWAY_TEAM,2024-04-20
436280,1,1,34,15,12,AWAY_TEAM,2024-04-20
436282,1,1,34,11,1,AWAY_TEAM,2024-04-20
436276,1,1,34,4,13,HOME_TEAM,2024-04-21
436273,1,1,34,2,20,HOME_TEAM,2024-04-21
436275,1,1,34,14,19,HOME_TEAM,2024-04-21
436277,1,1,34,5,6,AWAY_TEAM,2024-04-21
436223,1,1,29,1,3,HOME_TEAM,2024-04-23
436232,1,1,29,11,20,AWAY_TEAM,2024-04-24
436226,1,1,29,14,9,HOME_TEAM,2024-04-24
436227,1,1,29,4,6,HOME_TEAM,2024-04-24
436230,1,1,29,8,15,HOME_TEAM,2024-04-24
436224,1,1,29,17,7,AWAY_TEAM,2024-04-25
436291,1,1,35,19,6,DRAW,2024-04-27
436286,1,1,35,5,14,DRAW,2024-04-27
436287,1,1,35,8,12,DRAW,2024-04-27
436288,1,1,35,9,15,HOME_TEAM,2024-04-27
436292,1,1,35,11,16,HOME_TEAM,2024-04-27
436285,1,1,35,4,18,HOME_TEAM,2024-04-27
436284,1,1,35,2,3,DRAW,2024-04-27
436283,1,1,35,20,17,HOME_TEAM,2024-04-28
436290,1,1,35,10,1,AWAY_TEAM,2024-04-28
436289,1,1,35,13,7,AWAY_TEAM,2024-04-28
436197,1,1,26,3,10,HOME_TEAM,2024-05-02
436300,1,1,36,16,4,DRAW,2024-05-03
436293,1,1,36,1,20,HOME_TEAM,2024-05-04
436294,1,1,36,18,5,DRAW,2024-05-04
436296,1,1,36,12,9,AWAY_TEAM,2024-05-04
436302,1,1,36,15,13,AWAY_TEAM,2024-05-04
436301,1,1,36,7,11,HOME_TEAM,2024-05-04
436295,1,1,36,17,2,HOME_TEAM,2024-05-05
436297,1,1,36,3,19,HOME_TEAM,2024-05-05
436299,1,1,36,6,10,HOME_TEAM,2024-05-05
436298,1,1,36,14,8,HOME_TEAM,2024-05-06
436306,1,1,37,5,7,AWAY_TEAM,2024-05-11
436303,1,1,37,20,18,AWAY_TEAM,2024-05-11
436305,1,1,37,4,15,HOME_TEAM,2024-05-11
436308,1,1,37,9,17,DRAW,2024-05-11
436310,1,1,37,10,12,HOME_TEAM,2024-05-11
436311,1,1,37,19,16,HOME_TEAM,2024-05-11
436312,1,1,37,11,14,AWAY_TEAM,2024-05-11
436309,1,1,37,13,3,AWAY_TEAM,2024-05-11
436307,1,1,37,8,1,AWAY_TEAM,2024-05-12
436304,1,1,37,2,6,DRAW,2024-05-13
436281,1,1,34,10,7,AWAY_TEAM,2024-05-14
436274,1,1,34,17,3,AWAY_TEAM,2024-05-15
436279,1,1,34,8,9,HOME_TEAM,2024-05-15
436313,1,1,38,1,4,HOME_TEAM,2024-05-19
436314,1,1,38,18,9,AWAY_TEAM,2024-05-19
436315,1,1,38,17,8,AWAY_TEAM,2024-05-19
436316,1,1,38,12,13,AWAY_TEAM,2024-05-19
436317,1,1,38,3,20,HOME_TEAM,2024-05-19
436318,1,1,38,14,2,HOME_TEAM,2024-05-19
436319,1,1,38,6,11,HOME_TEAM,2024-05-19
436320,1,1,38,16,5,AWAY_TEAM,2024-05-19
436321,1,1,38,7,19,HOME_TEAM,2024-05-19
436322,1,1,38,15,10,AWAY_TEAM,2024-05-19
444255,2,2,1,33,34,AWAY_TEAM,2023-08-19
444256,2,2,1,36,31,AWAY_TEAM,2023-08-19
444257,2,2,1,27,22,AWAY_TEAM,2023-08-19
444258,2,2,1,28,40,HOME_TEAM,2023-08-19
444260,2,2,1,23,35,DRAW,2023-08-20
444261,2,2,1,37,24,AWAY_TEAM,2023-08-20
444259,2,2,1,39,30,HOME_TEAM,2023-08-20
444263,2,2,1,32,29,AWAY_TEAM,2023-08-20
444262,2,2,1,38,26,DRAW,2023-08-21
444254,2,2,1,25,21,AWAY_TEAM,2023-08-21
444266,2,2,2,36,24,HOME_TEAM,2023-08-26
444271,2,2,2,40,33,HOME_TEAM,2023-08-26
444267,2,2,2,34,23,HOME_TEAM,2023-08-26
444270,2,2,2,21,38,HOME_TEAM,2023-08-26
444265,2,2,2,22,39,DRAW,2023-08-27
444268,2,2,2,29,25,DRAW,2023-08-27
444269,2,2,2,30,27,AWAY_TEAM,2023-08-27
444272,2,2,2,31,37,HOME_TEAM,2023-08-27
444273,2,2,2,35,32,DRAW,2023-08-28
444264,2,2,2,26,28,AWAY_TEAM,2023-08-28
444281,2,2,3,37,34,HOME_TEAM,2023-09-01
444280,2,2,3,23,21,AWAY_TEAM,2023-09-01
444275,2,2,3,25,26,HOME_TEAM,2023-09-02
444283,2,2,3,32,36,DRAW,2023-09-02
444274,2,2,3,24,40,HOME_TEAM,2023-09-02
444279,2,2,3,31,30,AWAY_TEAM,2023-09-02
444277,2,2,3,28,22,HOME_TEAM,2023-09-03
444282,2,2,3,38,27,HOME_TEAM,2023-09-03
444276,2,2,3,33,29,AWAY_TEAM,2023-09-03
444278,2,2,3,39,35,HOME_TEAM,2023-09-03
444290,2,2,4,29,30,HOME_TEAM,2023-09-16
444289,2,2,4,28,21,HOME_TEAM,2023-09-16
444287,2,2,4,27,31,DRAW,2023-09-16
444284,2,2,4,26,32,DRAW,2023-09-17
444286,2,2,4,36,37,HOME_TEAM,2023-09-17
444291,2,2,4,40,39,DRAW,2023-09-17
444285,2,2,4,22,24,HOME_TEAM,2023-09-17
444292,2,2,4,23,33,HOME_TEAM,2023-09-17
444293,2,2,4,35,38,AWAY_TEAM,2023-09-18
444288,2,2,4,34,25,DRAW,2023-09-18
444300,2,2,5,35,36,DRAW,2023-09-22
444298,2,2,5,39,27,HOME_TEAM,2023-09-22
444299,2,2,5,21,34,HOME_TEAM,2023-09-23
444301,2,2,5,37,29,HOME_TEAM,2023-09-23
444297,2,2,5,30,40,DRAW,2023-09-23
444296,2,2,5,33,28,AWAY_TEAM,2023-09-24
444294,2,2,5,24,26,HOME_TEAM,2023-09-24
444303,2,2,5,32,22,AWAY_TEAM,2023-09-24
444295,2,2,5,25,31,DRAW,2023-09-24
444302,2,2,5,38,23,DRAW,2023-09-24
444310,2,2,6,29,39,HOME_TEAM,2023-09-26
444304,2,2,6,26,21,AWAY_TEAM,2023-09-27
444305,2,2,6,33,35,HOME_TEAM,2023-09-27
444308,2,2,6,34,24,AWAY_TEAM,2023-09-27
444309,2,2,6,28,37,AWAY_TEAM,2023-09-27
444311,2,2,6,30,38,HOME_TEAM,2023-09-27
444313,2,2,6,31,32,HOME_TEAM,2023-09-27
444306,2,2,6,36,22,DRAW,2023-09-28
444312,2,2,6,40,25,DRAW,2023-09-28
444307,2,2,6,27,23,HOME_TEAM,2023-09-28
444317,2,2,7,39,31,AWAY_TEAM,2023-09-30
444318,2,2,7,21,30,HOME_TEAM,2023-09-30
